Ls min [deg]	Ls max [deg]	Latitude min [deg]	Latitude max [deg]	Local Time min [hour]	Local Time max [hour]	Local Time center [hour]	OMEGA Median Tide [%]	OMEGA Std [%]	MCD Median Tide [%]	MCD Std [%]	Number of observations
180.000000	270.000000	60.000000	90.000000	13.000000	14.000000	13.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	14.000000	15.000000	14.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	15.000000	16.000000	15.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	9.000000	10.000000	9.500000	-3.568591	2.211976	0.120118	0.097669	4384.000000
180.000000	270.000000	30.000000	60.000000	10.000000	11.000000	10.500000	-3.086514	2.160632	0.155754	0.091022	2130.000000
180.000000	270.000000	30.000000	60.000000	11.000000	12.000000	11.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	12.000000	13.000000	12.500000	7.529111	10.171558	-0.891829	0.407563	79.000000
180.000000	270.000000	30.000000	60.000000	13.000000	14.000000	13.500000	2.905429	5.692420	-1.901149	0.486773	258.000000
180.000000	270.000000	30.000000	60.000000	14.000000	15.000000	14.500000	1.204643	4.464489	-2.213575	0.122866	65.000000
180.000000	270.000000	30.000000	60.000000	15.000000	16.000000	15.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	30.000000	60.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	0.000000	30.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	0.000000	30.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	0.000000	30.000000	8.000000	9.000000	8.500000	7.955428	2.801310	3.833406	0.316960	4440.000000
180.000000	270.000000	0.000000	30.000000	9.000000	10.000000	9.500000	2.426671	3.718136	1.505507	0.697018	17010.000000
180.000000	270.000000	0.000000	30.000000	10.000000	11.000000	10.500000	-3.669763	2.629664	0.635349	0.208260	2976.000000
180.000000	270.000000	0.000000	30.000000	11.000000	12.000000	11.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	0.000000	30.000000	12.000000	13.000000	12.500000	-3.074914	3.811771	-0.691427	0.403305	12966.000000
180.000000	270.000000	0.000000	30.000000	13.000000	14.000000	13.500000	-4.885027	3.439273	-1.811688	0.756765	54794.000000
180.000000	270.000000	0.000000	30.000000	14.000000	15.000000	14.500000	-6.183081	2.444826	-2.640558	0.431484	44912.000000
180.000000	270.000000	0.000000	30.000000	15.000000	16.000000	15.500000	-5.795655	3.093153	-3.038201	0.677751	10223.000000
180.000000	270.000000	0.000000	30.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	0.000000	30.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	0.000000	30.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	0.000000	30.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-30.000000	0.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-30.000000	0.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-30.000000	0.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-30.000000	0.000000	9.000000	10.000000	9.500000	4.381679	3.864903	2.052183	0.530946	5490.000000
180.000000	270.000000	-30.000000	0.000000	10.000000	11.000000	10.500000	2.329011	4.308474	1.918245	0.371189	6000.000000
180.000000	270.000000	-30.000000	0.000000	11.000000	12.000000	11.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-30.000000	0.000000	12.000000	13.000000	12.500000	-1.588480	6.061540	-0.650392	0.288556	12023.000000
180.000000	270.000000	-30.000000	0.000000	13.000000	14.000000	13.500000	-1.440257	4.557893	-1.264018	0.578766	21384.000000
180.000000	270.000000	-30.000000	0.000000	14.000000	15.000000	14.500000	-3.423478	4.269590	-2.159539	0.736284	15947.000000
180.000000	270.000000	-30.000000	0.000000	15.000000	16.000000	15.500000	-9.600620	4.543337	-3.526788	0.811982	29968.000000
180.000000	270.000000	-30.000000	0.000000	16.000000	17.000000	16.500000	-4.246367	3.407180	-1.851965	1.002764	304.000000
180.000000	270.000000	-30.000000	0.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-30.000000	0.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-30.000000	0.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-60.000000	-30.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-60.000000	-30.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-60.000000	-30.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-60.000000	-30.000000	9.000000	10.000000	9.500000	-0.553289	5.757997	1.937336	0.317510	98.000000
180.000000	270.000000	-60.000000	-30.000000	10.000000	11.000000	10.500000	-3.284149	3.965815	1.914148	0.319430	210.000000
180.000000	270.000000	-60.000000	-30.000000	11.000000	12.000000	11.500000	-3.157442	3.627801	0.044759	0.042308	1753.000000
180.000000	270.000000	-60.000000	-30.000000	12.000000	13.000000	12.500000	-2.002964	5.273048	-0.338211	0.260632	14875.000000
180.000000	270.000000	-60.000000	-30.000000	13.000000	14.000000	13.500000	-0.425537	4.287607	-0.727190	0.299854	29378.000000
180.000000	270.000000	-60.000000	-30.000000	14.000000	15.000000	14.500000	-0.778748	4.824361	-1.436003	0.392302	24504.000000
180.000000	270.000000	-60.000000	-30.000000	15.000000	16.000000	15.500000	-5.155140	4.891084	-1.755030	0.576065	65534.000000
180.000000	270.000000	-60.000000	-30.000000	16.000000	17.000000	16.500000	-2.455548	4.989200	-1.909693	0.628812	17675.000000
180.000000	270.000000	-60.000000	-30.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-60.000000	-30.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	-60.000000	-30.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
